F0distalX,F0distalY,F0distalZ,F0IntermediateX,F0IntermediateY,F0IntermediateZ,F0ProximalX,F0ProximalY,F0ProximalZ,F0TipDistanceToPalm,F1distalX,F1distalY,F1distalZ,F1IntermediateX,F1IntermediateY,F1IntermediateZ,F1ProximalX,F1ProximalY,F1ProximalZ,F1TipDistanceToPalm,F2distalX,F2distalY,F2distalZ,F2IntermediateX,F2IntermediateY,F2IntermediateZ,F2ProximalX,F2ProximalY,F2ProximalZ,F2TipDistanceToPalm,F3distalX,F3distalY,F3distalZ,F3IntermediateX,F3IntermediateY,F3IntermediateZ,F3ProximalX,F3ProximalY,F3ProximalZ,F3TipDistanceToPalm,F4distalX,F4distalY,F4distalZ,F4IntermediateX,F4IntermediateY,F4IntermediateZ,F4ProximalX,F4ProximalY,F4ProximalZ,F4TipDistanceToPalm,grabAngle,pinchDistance,armPitch,armYaw,armRoll,class 
-0.8922056,-0.33733594,-0.3002894,-0.8874402,-0.35698122,-0.29157233,-0.7746802,-0.6131875,-0.15450555,71.25307,0.86499006,-0.033565238,0.5006651,0.98754954,-0.017586082,-0.15632275,-0.04067275,0.029357195,-0.99874115,44.213867,0.80314314,0.115941614,0.584396,0.996513,0.01964575,-0.081092924,0.008356988,-0.15200564,-0.9883443,39.757187,0.80897796,0.004716985,0.5878202,0.98613995,-0.1544403,-0.06063083,-0.01658845,-0.19955407,-0.9797464,36.687634,0.8525449,-0.08544171,0.5156231,0.9276406,-0.35111654,-0.12727922,-0.1406382,-0.3070128,-0.94125664,35.81653,3.1415927,34.830383,2.6864038,1.7145585,1.6415343,alph
-0.89389145,-0.32145524,-0.31244946,-0.8818674,-0.37147152,-0.29037666,-0.77352774,-0.61317766,-0.16021286,71.5786,0.86162376,-0.04055299,0.5059248,0.9882822,-0.024897337,-0.15059355,-0.038123786,0.030674055,-0.99880207,44.166634,0.804424,0.10925593,0.5839221,0.99667954,0.012426138,-0.08047059,0.006906867,-0.15099339,-0.9885106,39.781944,0.8080876,-1.2967736E-4,0.5890622,0.985394,-0.15978217,-0.05889252,-0.01746139,-0.19864133,-0.9799167,36.598,0.85152626,-0.09147899,0.51627004,0.92552006,-0.3571052,-0.12604952,-0.14239651,-0.30537832,-0.9415239,35.7204,3.1415927,34.39009,2.6320827,1.7086995,1.6481823,alph
-0.89775133,-0.2918899,-0.32991338,-0.8710693,-0.40274423,-0.28113252,-0.7740886,-0.6105279,-0.16745915,72.07449,0.8511206,-0.038735032,0.5235394,0.99093235,-0.023394912,-0.13231024,-0.025898397,0.029943466,-0.9992161,43.750973,0.7985666,0.09879617,0.5937431,0.9976953,0.001281172,-0.06784156,0.01409483,-0.1490089,-0.98873544,39.538338,0.7965909,-0.015674375,0.6043158,0.9830414,-0.17869663,-0.04119715,-0.008244604,-0.1970847,-0.9803519,36.092155,0.83382165,-0.118727475,0.5391152,0.91563916,-0.38945323,-0.09965503,-0.13076028,-0.30326372,-0.9438925,34.87801,3.1415927,33.60244,2.540875,1.6970729,1.6575643,alph
-0.891948,-0.31130642,-0.32789814,-0.8613225,-0.42656213,-0.27598625,-0.77581364,-0.6055888,-0.17713062,72.74953,0.8476534,-0.03860946,0.5291437,0.9910258,-0.023214966,-0.13163939,-0.024731278,0.029876605,-0.99924767,43.702644,0.7939311,0.103917345,0.5990616,0.99772596,0.0062617958,-0.06710866,0.016302258,-0.149637,-0.9886067,39.454777,0.79099685,0.010743119,0.611726,0.98751795,-0.15219167,-0.04057023,-0.0028487146,-0.20127462,-0.97953075,36.20984,0.8408003,-0.077583194,0.53575736,0.9311309,-0.3485924,-0.107138395,-0.12586999,-0.31151384,-0.9418683,35.50422,3.1415927,33.082237,2.4541476,1.6779835,1.6589122,alph
-0.882731,-0.35273916,-0.31042093,-0.85762227,-0.43697593,-0.2711758,-0.77643824,-0.6045003,-0.17810982,73.24456,0.84738314,-0.03929691,0.529526,0.9901084,-0.02371049,-0.13828656,-0.02886039,0.030115858,-0.9991298,43.80614,0.7950657,0.086626984,0.6003052,0.9975517,-0.013424128,-0.068633735,0.015587419,-0.14700578,-0.98901284,39.615456,0.7870898,0.004934877,0.61681867,0.98638016,-0.15998392,-0.03820318,-7.41899E-4,-0.20056517,-0.97968006,36.09815,0.8398864,-0.073449716,0.53776944,0.93228126,-0.34553826,-0.10702869,-0.123557925,-0.3127225,-0.9417739,35.537395,3.1415927,33.139538,2.3205547,1.6607238,1.6673337,alph
-0.8793205,-0.37342,-0.29555565,-0.85975426,-0.43603846,-0.2658819,-0.7786764,-0.60309875,-0.1730173,73.195114,0.86497456,-0.04326521,0.4999473,0.98485947,-0.027035594,-0.1712336,-0.054736614,0.031744152,-0.99799615,44.525764,0.81050026,0.061593093,0.582491,0.9954416,-0.04041639,-0.086385965,-4.7057867E-5,-0.14326036,-0.98968506,40.249905,0.7938286,-0.022273414,0.60773367,0.9812348,-0.18770142,-0.0441193,-0.010855496,-0.19551085,-0.9806415,36.04414,0.84179366,-0.09856896,0.5307239,0.9228289,-0.3683651,-0.11266759,-0.13204107,-0.30665025,-0.94261914,35.355434,3.1415927,34.0995,2.1357944,1.640554,1.6805713,alph
-0.88647664,-0.35082048,-0.30180162,-0.8631012,-0.43000495,-0.2648626,-0.78082556,-0.60114765,-0.17009735,72.76233,0.87279177,-0.043969303,0.48610833,0.9830655,-0.02755317,-0.18117136,-0.059847683,0.032091796,-0.99769163,44.788216,0.8179192,0.05651605,0.5725506,0.9944571,-0.045324504,-0.09487298,-0.0039067566,-0.14257191,-0.98977673,40.548607,0.7999178,-0.031776287,0.5992679,0.9793891,-0.19586428,-0.049339682,-0.014159471,-0.19392869,-0.9809134,36.164803,0.8449205,-0.1131234,0.5227932,0.91737527,-0.37995344,-0.11856705,-0.13477844,-0.30409047,-0.9430609,35.34097,3.1415927,34.376328,2.1022537,1.6368146,1.6827888,alph
-0.8965902,-0.310188,-0.3160843,-0.8649872,-0.4275501,-0.26267475,-0.78141105,-0.6014211,-0.16640139,72.33129,0.871891,-0.043153718,0.48779482,0.9835675,-0.026800662,-0.17854023,-0.05489537,0.031755015,-0.99798703,44.746902,0.8195741,0.055190817,0.57030874,0.9942222,-0.046603978,-0.09669626,-0.0025174916,-0.14245659,-0.98979783,40.640724,0.80120575,-0.03678876,0.59725684,0.97831327,-0.2008029,-0.05080542,-0.012871176,-0.1935243,-0.9810111,36.21635,0.8429892,-0.12496519,0.52321404,0.9126167,-0.39153025,-0.117620885,-0.13228673,-0.3031476,-0.9437169,35.19878,3.1415927,34.396595,2.1477425,1.6431291,1.6816763,alph
-0.9048352,-0.2595139,-0.3375287,-0.8672665,-0.42010865,-0.2671283,-0.78212106,-0.60001415,-0.16813606,71.787994,0.8721677,-0.043489456,0.48727018,0.9836501,-0.027166665,-0.1780293,-0.056925118,0.03189172,-0.997869,44.73321,0.8180318,0.053296715,0.5726986,0.9944072,-0.0486587,-0.09373674,-0.0035151541,-0.14203691,-0.98985505,40.549496,0.800927,-0.038971968,0.59749246,0.97784764,-0.20316502,-0.050376803,-0.014933199,-0.19278985,-0.9811264,36.163586,0.84501445,-0.122729,0.5204692,0.91352344,-0.38856906,-0.12036988,-0.13557419,-0.30248195,-0.9434639,35.278614,3.1415927,34.299034,2.1295712,1.6421899,1.6846809,alph
-0.9063973,-0.23557195,-0.35064203,-0.8679643,-0.41410205,-0.27414864,-0.77973,-0.6023143,-0.1709929,71.64492,0.8627292,-0.041374728,0.5039708,0.98677725,-0.025441915,-0.16007262,-0.0431782,0.03098993,-0.9985865,44.335728,0.80724907,0.06337931,0.586798,0.99607694,-0.038301587,-0.07977271,0.0054104924,-0.14358073,-0.9896237,40.09305,0.7937544,-0.027860746,0.60759985,0.9801568,-0.19351952,-0.04292789,-0.009423137,-0.19495967,-0.9807659,36.013382,0.8411057,-0.10914534,0.5297437,0.9186484,-0.37847674,-0.11331585,-0.13203713,-0.30511117,-0.9431188,35.252327,3.1415927,33.825867,2.174112,1.6480913,1.6827322,alph
